name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon
R-CSF Baseline,0.2137021018113374,0.0424238939833392,0.2226004047562276,0.1793788203689821,-0.0088983029448902,0.1519197236519067,0.1108635026693632,2.142750263214112,GRFCensoredBaseline,1.0,0.7211695306311284,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
R-CSF Baseline,0.1280768519602645,0.0089943061626035,0.1395284248788127,0.0664547996873764,-0.0114515729185482,0.0674244345808977,0.0594473454137762,1.9926605224609373,GRFCensoredBaseline,1.0,0.0687803670038829,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
R-CSF Baseline,0.0169080552484285,0.0442092159860768,0.20518181853196,0.1286741075757288,-0.1882737632835314,0.2393632351161621,0.1892826518464624,2.589203357696533,GRFCensoredBaseline,0.647,-0.2932424978416938,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
R-CSF Baseline,0.1172691607610185,0.0231373294486669,0.15153939034682,0.0578740074587795,-0.0342702295858014,0.0663758601216674,0.0569414225414308,2.4559028148651123,GRFCensoredBaseline,1.0,0.2439903638802965,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
R-CSF Baseline,0.2583323692422326,0.1583438053693402,0.2433154875081338,0.191299634684863,0.0150168817340987,0.1233196814048607,0.0912025640448096,3.79624605178833,GRFCensoredBaseline,1.0,0.7706233045679195,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
R-CSF Baseline,0.0773127243388827,0.0271793445204718,0.135791273777472,0.0658710894065927,-0.0584785494385892,0.0887412669136365,0.0755462372436091,3.593275308609009,GRFCensoredBaseline,0.9955,0.1738351099299867,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,0.3291369842677525
R-CSF Baseline,0.2395326708391879,0.2398899684914686,0.2202699937632064,0.1559509369606508,0.0192626770759815,0.1937106634992695,0.1262630309329,7.33776068687439,GRFCensoredBaseline,0.99925,0.5976189246922903,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,4.97527981223022
R-CSF Baseline,0.082183514701112,0.0240694413374784,0.145438854807632,0.0600188672073213,-0.0632553401065199,0.0894183475525539,0.0764378927906175,6.4715118408203125,GRFCensoredBaseline,1.0,0.0647919597960426,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,0.3160559414657099
R-CSF Baseline,0.1370228641805362,0.1200125775133496,0.2332688030992745,0.1801347597722985,-0.0962459389187383,0.186036719260432,0.1272097766155869,18.04348874092102,GRFCensoredBaseline,0.9835,0.4973803255022923,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,5.669527287589518
R-CSF Baseline,0.0841173403482105,0.0172175569857787,0.139787101936983,0.0628829346720364,-0.0556697615887724,0.0813502676779569,0.0692583109478345,15.65485906600952,GRFCensoredBaseline,1.0,0.3380301379131017,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,0.3192054958313836
R-CSF Baseline,0.1096442711457881,0.0691761366260577,0.2146281799169252,0.1402448559940027,-0.104983908771137,0.1809899612310741,0.1229422965399811,62.24645113945007,GRFCensoredBaseline,0.9408125,0.1400909796733545,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,6.221289819187724
R-CSF Baseline,0.1202026019022409,0.0226337101361727,0.1561075403556551,0.0535228954731097,-0.0359049384534141,0.0635120775852463,0.0543126690982839,54.10217332839966,GRFCensoredBaseline,1.0,0.2610015073900317,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,0.3267957079017521
R-CSF Baseline,0.1438701624344627,0.023060444942197,0.2027032402370965,0.1123290277245756,-0.0588330778026337,0.1198456533753216,0.0841587471614893,4.141844034194946,GRFCensoredBaseline,1.0,0.4339063475592736,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,3.971124956253104
R-CSF Baseline,0.1249569818911129,0.0335075264055996,0.1633974223845869,0.0498082176627516,-0.038440440493474,0.0600657419674817,0.0514933930862805,3.363046884536743,GRFCensoredBaseline,1.0,0.4414113157943654,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,0.3370616018793481
R-CSF Baseline,0.2583323692422326,0.1583438053693402,0.2433154875081338,0.191299634684863,0.0150168817340987,0.1233196814048607,0.0912025640448096,3.8205392360687256,GRFCensoredBaseline,1.0,0.7706233045679195,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,5.323430614291711
R-CSF Baseline,0.0773127243388827,0.0271793445204718,0.135791273777472,0.0658710894065927,-0.0584785494385892,0.0887412669136365,0.0755462372436091,3.735916376113892,GRFCensoredBaseline,0.9955,0.1738351099299867,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,0.3291369842677525
R-CSF Baseline,0.1042085188223241,0.0481637139771895,0.2388534612201229,0.1880401636090127,-0.1346449423977987,0.2203717599438661,0.1473101916374099,4.400944232940674,GRFCensoredBaseline,0.994,0.3999461328664511,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,5.9992397233127095
