name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon
Final Conditional BroadDup Raw-Only,0.22722838192121383,0.08497484559809904,0.22260040475622767,0.17937882036898217,0.004627977164986127,0.14673148766203692,0.11110528227868424,4.727986097335815,ConditionalCensoringFinalCensoredModel,1.0,0.5867985618319073,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Conditional Dup Full,0.21027968673931877,0.09393347375607583,0.22260040475622767,0.17937882036898217,-0.0123207180169089,0.11847297704654039,0.08046500740393142,4.570962429046631,ConditionalCensoringFinalCensoredModel,1.0,0.8046508712938502,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Conditional Dup Raw-Only,0.20962706914620924,0.06729017427927307,0.22260040475622767,0.17937882036898217,-0.01297333561001844,0.1581863761462593,0.11411956766881867,4.672201633453369,ConditionalCensoringFinalCensoredModel,1.0,0.49087333854217363,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Conditional BroadDup Raw-Only,0.15291124200452694,0.028377848781228888,0.13952842487881276,0.06645479968737648,0.013382817125714177,0.07205363547807321,0.05855043091011444,4.659498691558838,ConditionalCensoringFinalCensoredModel,1.0,0.055390605786580636,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.32157222606952396
Final Conditional Dup Full,0.1465635629991516,0.033826589940996334,0.13952842487881276,0.06645479968737648,0.0070351381203388325,0.07332294208494801,0.06121581511028445,4.486480951309204,ConditionalCensoringFinalCensoredModel,1.0,0.05198492797511689,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.32157222606952396
Final Conditional Dup Raw-Only,0.14782153456988334,0.03733042022580339,0.13952842487881276,0.06645479968737648,0.008293109691070579,0.07727160754038544,0.06316985239298865,4.641083002090454,ConditionalCensoringFinalCensoredModel,1.0,-0.018608014304858176,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.32157222606952396
Final Conditional BroadDup Raw-Only,0.11989109715682011,0.04072201795927064,0.20518181853196,0.12867410757572884,-0.08529072137513989,0.14621242218597735,0.10382520572357722,6.183696985244751,ConditionalCensoringFinalCensoredModel,1.0,0.3923517179057112,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Conditional Dup Full,0.12523638028000178,0.028902294775396686,0.20518181853196,0.12867410757572884,-0.07994543825195823,0.15790344373656756,0.10924923271225932,5.797486782073975,ConditionalCensoringFinalCensoredModel,1.0,-0.15459303013428782,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Conditional Dup Raw-Only,0.12046214073662777,0.04025001803828541,0.20518181853196,0.12867410757572884,-0.08471967779533225,0.15236080220453463,0.1101425263873225,5.920478343963623,ConditionalCensoringFinalCensoredModel,1.0,0.20666574702358065,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Conditional BroadDup Raw-Only,0.13973646335952156,0.04087635164673632,0.15153939034682,0.057874007458779575,-0.011802926987298396,0.06128434405609825,0.049416555637096495,6.102240085601807,ConditionalCensoringFinalCensoredModel,1.0,0.2967045718308408,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.31863849005118244
