model_name,display_name,age_years,cate_days,cate_bootstrap_se,cate_ci_lower,cate_ci_upper
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",12.0,-7.8117210481790815,15.987063006656658,-26.225006551409752,37.28748177574415
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",13.0,-7.791708025284403,15.967074916872132,-26.31712932795392,37.257850945384256
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",14.0,-7.447041957325542,15.949035009743069,-26.334744411096594,37.19068574425456
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",15.0,-7.295054737056772,15.947237552918928,-26.290856325965535,37.24808927433978
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",16.0,-7.178109028816876,15.935003296591406,-26.90867246273936,37.31529411013208
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",17.0,-6.614049267159956,15.844485785695124,-27.416830314038304,37.16399256423812
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",18.0,-6.3881914766947006,15.733130810812472,-25.70506714239697,37.20017502140678
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",19.0,-6.1319425999159245,15.662898855648686,-25.17221998511732,37.0330731737252
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",20.0,-5.689619312798781,15.623595784815878,-24.914581108903857,37.27158668163083
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",21.0,-5.353411773151223,15.631541126137607,-24.873370671379423,37.12173641799032
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",22.0,-5.296641679781912,15.607691921438807,-24.860954847861564,37.33945305664244
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",23.0,-5.019177229485325,15.551598142042936,-25.25257084995233,37.1829165616925
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",24.0,-3.774590788286196,15.53824562868996,-25.313938461095493,36.89118247815767
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",25.0,-3.1543122391406664,15.48468473782991,-26.26181564433856,36.81591361508867
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",26.0,-2.077074635065548,15.477667127142238,-27.213622291332882,37.35606074341373
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",27.0,-1.9716030828144735,15.508238472577391,-25.12281567717857,37.7072385467194
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",28.0,-1.5456426286205838,15.407109168931948,-23.433423747427394,37.311209229727105
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",29.0,-1.4052356395561836,15.35763700427183,-22.347661436350634,36.79969252663423
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",30.0,-1.1133336013687705,15.27189647799135,-21.633804313211797,36.352116646462406
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",31.0,-0.5893435048777331,15.208792046920122,-22.105467727752202,36.41276205487265
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",32.0,-0.22691660552386694,15.234653417267959,-20.82541421572008,36.680465112611365
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",33.0,0.9260041436288688,15.242553285412907,-20.680542541377164,36.82184864773404
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",34.0,1.667301357767227,15.144506038977294,-18.982900628298726,36.55756932022466
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",35.0,2.1638456399574526,15.128038321211902,-19.03274057250631,37.358180750079676
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",36.0,2.6343442078160946,15.06346570888002,-19.395264692005327,37.624529569281755
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",37.0,2.8666851895582304,15.103341094179846,-19.705237073291777,37.78758692060346
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",38.0,3.2643357022728168,15.108557732916376,-20.03614066424424,35.681213084300694
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",39.0,3.8304025589043382,15.060805281938453,-19.158710448929273,36.46766195673192
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",40.0,5.130907415238712,15.10894946573204,-19.741567798149383,38.69415026042609
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",41.0,5.451969769929539,15.08391728710465,-20.50780115670612,39.13658298112905
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",42.0,5.70747369113313,15.06869397039209,-20.284706878439085,40.216759477591815
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",43.0,6.033696168419299,15.044324402090696,-20.39982477907078,39.48214209510579
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",44.0,6.141313141481358,15.108510926003024,-18.19847587668083,39.690479499218476
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",45.0,6.212487934616576,15.124797599832355,-18.127851651573163,39.33260733441491
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",46.0,6.229571643672203,15.190371078742048,-19.27652795756192,39.04589218434386
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",47.0,6.351466126700284,15.21440243130163,-19.01108880979438,38.554708118041
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",48.0,6.335598619353248,15.224112887053435,-18.42042936430362,38.43345335590175
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",49.0,6.287948617491837,15.216842952186111,-18.693214460950944,38.03284476290622
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",50.0,6.262170835842008,15.20881957320663,-19.032085434989995,38.111578042886244
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",51.0,6.224135421542919,15.204688333299906,-19.047717125371342,38.02166413494036
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",52.0,6.281098137062417,15.199827696197248,-18.72647675707695,37.93829571426886
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",53.0,6.178585462111124,15.214800820149597,-18.610480502797383,38.06422347783352
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",54.0,6.2693713877538295,15.254518253589698,-18.683080795898192,38.554565446137595
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",55.0,6.245641446738225,15.285260112409151,-18.721607279576045,38.803817639073486
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",56.0,6.21052130257772,15.311448546423216,-18.80083455461315,39.10848358361983
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",57.0,6.165498433383341,15.340977750388275,-18.703981712024124,39.24376200339517
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",58.0,6.102483945319468,15.395966512811425,-18.49874864989974,39.37950515677962
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",59.0,6.193772162678948,15.526789376104276,-18.422403259724437,39.52166070618828
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",60.0,6.24417561160721,15.601418607441293,-18.75327203490658,39.51463990946057
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",61.0,6.355643064061833,15.67178650110104,-18.850844074413352,39.588528849094665
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",62.0,6.368249104542668,15.767192162922205,-19.036859674081654,39.63563528364961
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",63.0,6.338173692183833,15.827941464425045,-18.89515217464892,39.81697373908051
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",64.0,6.289960571668013,15.884608477778212,-18.758771405395027,40.81084654432584
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",65.0,6.243210014946005,15.93030838828673,-18.755301754318197,41.06125377085187
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",66.0,6.264883084654275,16.00840055774,-18.74710169354858,42.0510239524073
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",67.0,6.255905652439111,16.078716856148894,-18.817569234684527,42.028034505182546
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",68.0,6.173493005485377,16.191495847100864,-18.773699246978627,42.05635666692699
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",69.0,6.091485482953668,16.242575994996077,-18.777215930584152,42.09143324547165
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",70.0,6.090800707680564,16.30238576816178,-18.69777036245154,41.97925577115181
