model_name,rep,age_years,cate_days
r_csf_x14,0,12.0,-3.65201070106817
r_csf_x14,0,13.0,-3.65201070106817
r_csf_x14,0,14.0,-3.65201070106817
r_csf_x14,0,15.0,-3.65201070106817
r_csf_x14,0,16.0,-3.65201070106817
r_csf_x14,0,17.0,-3.65201070106817
r_csf_x14,0,18.0,-3.65201070106817
r_csf_x14,0,19.0,-3.65201070106817
r_csf_x14,0,20.0,-3.65201070106817
r_csf_x14,0,21.0,-3.65201070106817
r_csf_x14,0,22.0,-3.65572990861809
r_csf_x14,0,23.0,-3.64395880458376
r_csf_x14,0,24.0,-4.03449255281921
r_csf_x14,0,25.0,-4.07729996935618
r_csf_x14,0,26.0,-4.11510331944484
r_csf_x14,0,27.0,-4.91015341472155
r_csf_x14,0,28.0,-5.08003126908362
r_csf_x14,0,29.0,-4.74544936941462
r_csf_x14,0,30.0,-4.1820111293414
r_csf_x14,0,31.0,-2.7359545427409
r_csf_x14,0,32.0,-1.14366140436002
r_csf_x14,0,33.0,-0.0550123881415022
r_csf_x14,0,34.0,0.569674949895465
r_csf_x14,0,35.0,1.11802508593138
r_csf_x14,0,36.0,1.99118135404509
r_csf_x14,0,37.0,4.07775730933434
r_csf_x14,0,38.0,5.12903078753814
r_csf_x14,0,39.0,8.70404122570159
r_csf_x14,0,40.0,14.4887754748676
r_csf_x14,0,41.0,14.9524313891977
r_csf_x14,0,42.0,15.572720272534
r_csf_x14,0,43.0,16.3820394071656
r_csf_x14,0,44.0,17.5927216718846
r_csf_x14,0,45.0,19.1176962037155
r_csf_x14,0,46.0,19.5418106781603
r_csf_x14,0,47.0,19.8442592274187
r_csf_x14,0,48.0,20.7378387309174
r_csf_x14,0,49.0,20.8099106457821
r_csf_x14,0,50.0,20.8139952574973
r_csf_x14,0,51.0,20.8115802844531
r_csf_x14,0,52.0,20.8115802844531
r_csf_x14,0,53.0,20.8445217721398
r_csf_x14,0,54.0,20.8445217721398
r_csf_x14,0,55.0,20.8584606671511
r_csf_x14,0,56.0,20.8584606671511
r_csf_x14,0,57.0,20.8584606671511
r_csf_x14,0,58.0,20.8584606671511
r_csf_x14,0,59.0,20.8584606671511
r_csf_x14,0,60.0,20.8584606671511
r_csf_x14,0,61.0,20.8584606671511
r_csf_x14,0,62.0,20.8584606671511
r_csf_x14,0,63.0,20.8584606671511
r_csf_x14,0,64.0,20.8584606671511
r_csf_x14,0,65.0,20.8584606671511
r_csf_x14,0,66.0,20.8584606671511
r_csf_x14,0,67.0,20.8584606671511
r_csf_x14,0,68.0,20.8584606671511
r_csf_x14,0,69.0,20.8584606671511
r_csf_x14,0,70.0,20.8584606671511
r_csf_x14,1,12.0,-14.7656159238448
