model_name,display_name,age_years,cate_days
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",12.0,-11.872214927061535
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",13.0,-11.342789238618323
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",14.0,-11.097833841523634
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",15.0,-10.948510390228739
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",16.0,-10.613281051253981
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",17.0,-10.179122067536557
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",18.0,-9.738853466505182
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",19.0,-9.171690200086251
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",20.0,-8.854640643613987
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",21.0,-8.743223466824452
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",22.0,-8.59714329081001
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",23.0,-8.43701504898432
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",24.0,-7.108965986999063
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",25.0,-6.260239336585515
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",26.0,-4.952879531422292
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",27.0,-4.644536613789327
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",28.0,-4.350993348018878
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",29.0,-4.193247306730627
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",30.0,-4.011626127145813
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",31.0,-3.576686986116975
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",32.0,-3.064587081463558
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",33.0,-2.23907633423272
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",34.0,-1.5962587926721359
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",35.0,-0.35807090404756037
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",36.0,0.262664563704199
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",37.0,0.3160059307763651
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",38.0,0.6476806172815133
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",39.0,0.9462302511189422
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",40.0,3.4779846039123092
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",41.0,4.104665128769382
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",42.0,4.329936536809326
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",43.0,4.381882979856135
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",44.0,4.02385162235694
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",45.0,4.216726637020011
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",46.0,4.133756140271662
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",47.0,4.051184093071082
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",48.0,3.9430333076510644
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",49.0,3.7946613371216955
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",50.0,3.691687558857687
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",51.0,3.636041209535606
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",52.0,3.6118414974610453
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",53.0,3.6235011047656887
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",54.0,3.6547605402069054
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",55.0,3.7055071432450055
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",56.0,3.6314266771915005
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",57.0,3.6625073337652525
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",58.0,3.6318480552460146
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",59.0,3.81883976976639
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",60.0,3.731250057233831
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",61.0,3.596373418045615
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",62.0,3.646260297285272
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",63.0,3.62469187941479
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",64.0,3.5892654276798615
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",65.0,3.508269137577754
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",66.0,3.5584566069794286
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",67.0,3.5651233225414436
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",68.0,3.49947740660671
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",69.0,3.496845112696978
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",70.0,3.4293747462636954
