model_name,rep,age_years,cate_days
final_conditional_rec_b,0,12.0,22.251265707474175
final_conditional_rec_b,0,13.0,22.235350694592718
final_conditional_rec_b,0,14.0,22.26452227539742
final_conditional_rec_b,0,15.0,22.364237732209745
final_conditional_rec_b,0,16.0,22.352093483129984
final_conditional_rec_b,0,17.0,22.352297558468543
final_conditional_rec_b,0,18.0,22.588569752591926
final_conditional_rec_b,0,19.0,22.60843561496611
final_conditional_rec_b,0,20.0,22.43782282642745
final_conditional_rec_b,0,21.0,22.43956122130337
final_conditional_rec_b,0,22.0,22.15232411787395
final_conditional_rec_b,0,23.0,22.52238787017528
final_conditional_rec_b,0,24.0,22.490897141186675
final_conditional_rec_b,0,25.0,22.74617617807963
final_conditional_rec_b,0,26.0,22.93449890119267
final_conditional_rec_b,0,27.0,23.015810557237153
final_conditional_rec_b,0,28.0,23.09823605860546
final_conditional_rec_b,0,29.0,23.11160647355829
final_conditional_rec_b,0,30.0,23.05585260685156
final_conditional_rec_b,0,31.0,23.27013742545953
final_conditional_rec_b,0,32.0,23.02767787065556
final_conditional_rec_b,0,33.0,23.911710206893268
final_conditional_rec_b,0,34.0,23.09460190040027
final_conditional_rec_b,0,35.0,22.8414436334452
final_conditional_rec_b,0,36.0,22.876188374355923
final_conditional_rec_b,0,37.0,23.33177236736592
final_conditional_rec_b,0,38.0,23.174671042731465
final_conditional_rec_b,0,39.0,23.462889379266702
final_conditional_rec_b,0,40.0,23.52013706656223
final_conditional_rec_b,0,41.0,23.47823845715192
final_conditional_rec_b,0,42.0,24.059695086746764
final_conditional_rec_b,0,43.0,24.157124355441912
final_conditional_rec_b,0,44.0,24.581022009572248
final_conditional_rec_b,0,45.0,24.833923737050846
final_conditional_rec_b,0,46.0,25.042610108211065
final_conditional_rec_b,0,47.0,25.532058060788078
final_conditional_rec_b,0,48.0,25.471824165921714
final_conditional_rec_b,0,49.0,26.138673546347356
final_conditional_rec_b,0,50.0,26.229405315687575
final_conditional_rec_b,0,51.0,26.28131668235312
final_conditional_rec_b,0,52.0,25.886490916935298
final_conditional_rec_b,0,53.0,25.860646216935354
final_conditional_rec_b,0,54.0,25.846428766484067
final_conditional_rec_b,0,55.0,25.694062906322564
final_conditional_rec_b,0,56.0,25.752072670277876
final_conditional_rec_b,0,57.0,25.794756009864127
final_conditional_rec_b,0,58.0,26.00266490475257
final_conditional_rec_b,0,59.0,25.023464695853818
final_conditional_rec_b,0,60.0,24.334548496620215
final_conditional_rec_b,0,61.0,24.156484437217294
final_conditional_rec_b,0,62.0,24.32276140080603
final_conditional_rec_b,0,63.0,24.508634081814474
final_conditional_rec_b,0,64.0,24.65571820464343
final_conditional_rec_b,0,65.0,24.888493273645903
final_conditional_rec_b,0,66.0,24.952750712014684
final_conditional_rec_b,0,67.0,25.15377134150329
final_conditional_rec_b,0,68.0,25.338732444969917
final_conditional_rec_b,0,69.0,25.546213449563986
final_conditional_rec_b,0,70.0,25.55004449441078
final_conditional_rec_b,1,12.0,8.414571971523056
final_conditional_rec_b,1,13.0,8.159321138009275
final_conditional_rec_b,1,14.0,7.933525673042801
final_conditional_rec_b,1,15.0,7.719531770358447
final_conditional_rec_b,1,16.0,7.3946977596934955
final_conditional_rec_b,1,17.0,6.992993328147864
final_conditional_rec_b,1,18.0,6.317752356212396
final_conditional_rec_b,1,19.0,5.2202919274463655
final_conditional_rec_b,1,20.0,4.154810563565297
final_conditional_rec_b,1,21.0,3.794148654562323
final_conditional_rec_b,1,22.0,3.3409102422053696
final_conditional_rec_b,1,23.0,3.107989359852276
final_conditional_rec_b,1,24.0,2.713843826787726
final_conditional_rec_b,1,25.0,2.5127238592465364
final_conditional_rec_b,1,26.0,2.8643311037074852
final_conditional_rec_b,1,27.0,3.2146823156702
final_conditional_rec_b,1,28.0,3.361686980841239
final_conditional_rec_b,1,29.0,3.080232559726034
final_conditional_rec_b,1,30.0,3.1018095883068684
final_conditional_rec_b,1,31.0,3.2462874855162136
final_conditional_rec_b,1,32.0,3.4167395633986173
final_conditional_rec_b,1,33.0,3.4935672791546284
final_conditional_rec_b,1,34.0,3.687279206881474
final_conditional_rec_b,1,35.0,2.6494369180627264
final_conditional_rec_b,1,36.0,2.11777793369146
final_conditional_rec_b,1,37.0,2.5813032488722016
final_conditional_rec_b,1,38.0,2.5444349491922185
final_conditional_rec_b,1,39.0,2.6977651436422967
final_conditional_rec_b,1,40.0,2.905769218535464
final_conditional_rec_b,1,41.0,2.7080766114673613
final_conditional_rec_b,1,42.0,2.5798779988685934
final_conditional_rec_b,1,43.0,2.7175567291421543
final_conditional_rec_b,1,44.0,3.014479063829793
final_conditional_rec_b,1,45.0,3.1710608133672675
final_conditional_rec_b,1,46.0,2.9716755520360403
final_conditional_rec_b,1,47.0,2.9397845211663567
final_conditional_rec_b,1,48.0,2.9949183639751493
final_conditional_rec_b,1,49.0,3.2797503235969985
final_conditional_rec_b,1,50.0,3.2573054508778467
final_conditional_rec_b,1,51.0,3.116737472731513
final_conditional_rec_b,1,52.0,3.1197749457405335
final_conditional_rec_b,1,53.0,3.251503419574095
final_conditional_rec_b,1,54.0,3.325560515907967
