model_name,rep,age_years,cate_days
final_conditional_x12_w2_z2,0,12.0,8.732672578306984
final_conditional_x12_w2_z2,0,13.0,8.62820747039516
final_conditional_x12_w2_z2,0,14.0,8.361050416606716
final_conditional_x12_w2_z2,0,15.0,8.170356151312099
final_conditional_x12_w2_z2,0,16.0,8.070690825693864
final_conditional_x12_w2_z2,0,17.0,7.954438793568775
final_conditional_x12_w2_z2,0,18.0,7.692001581646031
final_conditional_x12_w2_z2,0,19.0,7.2332145252118965
final_conditional_x12_w2_z2,0,20.0,7.059724646285691
final_conditional_x12_w2_z2,0,21.0,6.815952211798488
final_conditional_x12_w2_z2,0,22.0,6.577960402530701
final_conditional_x12_w2_z2,0,23.0,6.408964542862377
final_conditional_x12_w2_z2,0,24.0,6.04728619202256
final_conditional_x12_w2_z2,0,25.0,5.817987718810825
final_conditional_x12_w2_z2,0,26.0,5.236795947591527
final_conditional_x12_w2_z2,0,27.0,4.454869067996827
final_conditional_x12_w2_z2,0,28.0,2.106323425325549
final_conditional_x12_w2_z2,0,29.0,1.6350902845637445
final_conditional_x12_w2_z2,0,30.0,1.1978089245009589
final_conditional_x12_w2_z2,0,31.0,0.9826223272205863
final_conditional_x12_w2_z2,0,32.0,0.84608786941839
final_conditional_x12_w2_z2,0,33.0,2.188097565744927
final_conditional_x12_w2_z2,0,34.0,2.6150813712121037
final_conditional_x12_w2_z2,0,35.0,3.320833699875738
final_conditional_x12_w2_z2,0,36.0,3.2545517191278206
final_conditional_x12_w2_z2,0,37.0,3.3243040850255205
final_conditional_x12_w2_z2,0,38.0,3.600225095375798
final_conditional_x12_w2_z2,0,39.0,5.0847707912826365
final_conditional_x12_w2_z2,0,40.0,5.718130453249541
final_conditional_x12_w2_z2,0,41.0,6.229733755912018
final_conditional_x12_w2_z2,0,42.0,8.36428649978745
final_conditional_x12_w2_z2,0,43.0,10.327621877358794
final_conditional_x12_w2_z2,0,44.0,11.811651723612277
final_conditional_x12_w2_z2,0,45.0,11.971640081590168
final_conditional_x12_w2_z2,0,46.0,12.621340083040018
final_conditional_x12_w2_z2,0,47.0,13.181574003986064
final_conditional_x12_w2_z2,0,48.0,13.442159759426026
final_conditional_x12_w2_z2,0,49.0,13.482436805720319
