model_name,rep,age_years,cate_days
final_conditional_x14,0,12.0,1.8105251314889195
final_conditional_x14,0,13.0,1.9158959588129818
final_conditional_x14,0,14.0,1.8909427592049646
final_conditional_x14,0,15.0,2.0118881808861326
final_conditional_x14,0,16.0,2.2926813919925877
final_conditional_x14,0,17.0,1.8722445618791044
final_conditional_x14,0,18.0,1.8384612230548218
final_conditional_x14,0,19.0,1.9785507585242241
final_conditional_x14,0,20.0,2.482969703871755
final_conditional_x14,0,21.0,2.6118850358553236
final_conditional_x14,0,22.0,2.6775914891820944
final_conditional_x14,0,23.0,4.184563192867481
final_conditional_x14,0,24.0,4.571734622513186
final_conditional_x14,0,25.0,5.121484338624283
final_conditional_x14,0,26.0,3.407394292685956
final_conditional_x14,0,27.0,1.2044672120179418
final_conditional_x14,0,28.0,2.3978861003568723
final_conditional_x14,0,29.0,3.7886277624340177
final_conditional_x14,0,30.0,4.726280322836691
final_conditional_x14,0,31.0,5.401303099021882
final_conditional_x14,0,32.0,5.705459509566234
final_conditional_x14,0,33.0,6.103074038377931
final_conditional_x14,0,34.0,5.362193745490207
final_conditional_x14,0,35.0,4.534603683539601
final_conditional_x14,0,36.0,3.800534638505752
final_conditional_x14,0,37.0,4.552140632137438
final_conditional_x14,0,38.0,5.203073191486306
final_conditional_x14,0,39.0,5.262839622275489
final_conditional_x14,0,40.0,5.439263784259797
final_conditional_x14,0,41.0,4.694498105125405
final_conditional_x14,0,42.0,1.887371904980037
final_conditional_x14,0,43.0,3.277943792481282
final_conditional_x14,0,44.0,5.130749083595533
final_conditional_x14,0,45.0,4.868356735601745
final_conditional_x14,0,46.0,5.461823327538124
final_conditional_x14,0,47.0,5.451691356731242
final_conditional_x14,0,48.0,5.359626611183694
final_conditional_x14,0,49.0,5.6361581020850355
final_conditional_x14,0,50.0,5.601877744013209
final_conditional_x14,0,51.0,5.526775051414342
final_conditional_x14,0,52.0,5.356327186716653
final_conditional_x14,0,53.0,5.38486299099683
final_conditional_x14,0,54.0,5.431813394819801
final_conditional_x14,0,55.0,5.342015870693039
final_conditional_x14,0,56.0,5.481818349711423
final_conditional_x14,0,57.0,5.3418762138684714
final_conditional_x14,0,58.0,5.2686152763819605
final_conditional_x14,0,59.0,5.127189885331021
final_conditional_x14,0,60.0,5.0673110704827735
final_conditional_x14,0,61.0,5.3965804573370235
final_conditional_x14,0,62.0,5.333829705814823
final_conditional_x14,0,63.0,5.392816824324596
final_conditional_x14,0,64.0,5.3451157849729976
final_conditional_x14,0,65.0,5.280348496046768
final_conditional_x14,0,66.0,5.232969306905613
final_conditional_x14,0,67.0,5.15857401738694
final_conditional_x14,0,68.0,5.088934582172149
final_conditional_x14,0,69.0,5.0211770417832415
final_conditional_x14,0,70.0,5.066225753806483
final_conditional_x14,1,12.0,23.151260487044656
final_conditional_x14,1,13.0,23.325529748360292
final_conditional_x14,1,14.0,23.220954342055656
final_conditional_x14,1,15.0,22.543626498606752
final_conditional_x14,1,16.0,21.150255206032178
final_conditional_x14,1,17.0,20.68777936699352
final_conditional_x14,1,18.0,20.728372285638567
final_conditional_x14,1,19.0,20.705298637472893
final_conditional_x14,1,20.0,21.075408431644746
final_conditional_x14,1,21.0,22.592476033854986
final_conditional_x14,1,22.0,23.095642450616737
final_conditional_x14,1,23.0,23.69941721478478
final_conditional_x14,1,24.0,23.294055596429477
final_conditional_x14,1,25.0,23.295287172122897
final_conditional_x14,1,26.0,26.037808374567252
final_conditional_x14,1,27.0,28.0205945018442
final_conditional_x14,1,28.0,28.434209919383754
final_conditional_x14,1,29.0,29.106264371119146
final_conditional_x14,1,30.0,29.70718255752686
