name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Conditional,0.1553079059452014,0.036314787455562464,0.14698986162994673,0.06291044098198303,0.008318044315254649,0.046454983752143936,0.038825827498293566,4.742960453033447,ConditionalCensoringFinalCensoredModel,1.0,0.6976364812726649,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.20170952657863392,0.029010485828014656,0.14698986162994673,0.06291044098198303,0.054719664948687165,0.07006529468054797,0.05887267627234316,0.30536603927612305,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7902272263643042,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.1449939580460262,0.02220883251469549,0.14698986162994673,0.06291044098198303,-0.0019959035839205515,0.05703256098321479,0.049028614897296374,0.8589670658111572,RevisedBaselineCensoredSurvivalForest,1.0,0.43023706551409513,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.07805357192116534,0.024877369609003268,0.15659484546213,0.058991201429990946,-0.07854127354096468,0.10488775673657623,0.08507453737458294,6.320980548858643,ConditionalCensoringFinalCensoredModel,1.0,-0.25003118749129255,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.11557568026057112,0.03948049073768828,0.15659484546213,0.058991201429990946,-0.0410191652015589,0.09190930474417389,0.06682814300864581,0.3156561851501465,SingleFileFinalOracleCensoredSurvivalForest,0.988,-0.37056166111543454,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.10010727541326438,0.0269781257725431,0.15659484546213,0.058991201429990946,-0.056487570048865635,0.09078313392908974,0.07495195893224899,0.9232785701751709,RevisedBaselineCensoredSurvivalForest,1.0,-0.2648336547078414,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.1340816401155609,0.05538226718326577,0.15226568796733847,0.06275385282350203,-0.01818404785177755,0.058699351244936304,0.04660700142425867,9.496063947677612,ConditionalCensoringFinalCensoredModel,1.0,0.5596809911737931,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.146537819404436,0.043545713973086625,0.15226568796733847,0.06275385282350203,-0.0057278685629024596,0.04483899658193869,0.03711683797947063,0.3835129737854004,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.705639604341358,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.11667408614304053,0.037278567329191735,0.15226568796733847,0.06275385282350203,-0.035591601824297894,0.07332151596294376,0.06024203046335715,1.362990379333496,RevisedBaselineCensoredSurvivalForest,0.9995,0.26042334091942637,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.1104987229283779,0.06025253728300839,0.1563824764006181,0.0608434975654023,-0.045883753472240156,0.0794946777771209,0.06379391306590951,17.094626426696777,ConditionalCensoringFinalCensoredModel,1.0,0.42529127900738306,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
