name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Marginal,0.1597692983464177,0.04562221189498748,0.14698986162994673,0.06291044098198303,0.012779436716470964,0.04734726805250536,0.03891073415761877,4.586569309234619,FinalCensoredModel,1.0,0.6899831760012116,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.20170952657863392,0.02901048582801466,0.14698986162994673,0.06291044098198303,0.054719664948687165,0.07006529468054797,0.05887267627234316,0.32444024085998535,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7902272263643043,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.16278236290891504,0.019014816613100602,0.14698986162994673,0.06291044098198303,0.015792501278968293,0.06246751825846404,0.053106122618561555,0.7473504543304443,RevisedBaselineCensoredSurvivalForest,1.0,0.2785830555178069,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.06566120341009948,0.03483972733717813,0.15659484546213,0.058991201429990946,-0.0909336420520305,0.12327305473203266,0.09938712434436307,5.931921720504761,FinalCensoredModel,0.962,-0.5433801341529874,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.11557568026057112,0.03948049073768828,0.15659484546213,0.058991201429990946,-0.04101916520155889,0.09190930474417389,0.06682814300864581,0.312039852142334,SingleFileFinalOracleCensoredSurvivalForest,0.988,-0.3705616611154344,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.07947015540477607,0.024007553955867095,0.15659484546213,0.058991201429990946,-0.07712469005735394,0.10409501596701233,0.0859815335765672,0.751413106918335,RevisedBaselineCensoredSurvivalForest,0.997,-0.2934648422431794,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.13654456096000242,0.05727961877422983,0.15226568796733847,0.06275385282350203,-0.015721127007336,0.05962285535483029,0.04664567983929763,9.296544075012207,FinalCensoredModel,1.0,0.5440605760215236,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.146537819404436,0.043545713973086625,0.15226568796733847,0.06275385282350203,-0.005727868562902459,0.04483899658193869,0.03711683797947063,0.3982996940612793,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.705639604341358,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.12889905980287542,0.04641244952646487,0.15226568796733847,0.06275385282350203,-0.023366628164462996,0.07246462762758897,0.058487097376412465,1.0530548095703125,RevisedBaselineCensoredSurvivalForest,0.997,0.2381133018833561,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.1187278392285799,0.06142420981936382,0.1563824764006181,0.0608434975654023,-0.037654637172038166,0.07599582010619949,0.05961483052600934,15.358344078063965,FinalCensoredModel,1.0,0.4170660641793788,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.14763321638877658,0.06939987549454821,0.1563824764006181,0.0608434975654023,-0.008749260011841458,0.05092927981712706,0.03874160878663913,0.5397231578826904,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7105965239148552,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.12020376932223786,0.04537191870953116,0.1563824764006181,0.0608434975654023,-0.0361787070783802,0.06428593068536075,0.05204842812833385,1.5446183681488037,RevisedBaselineCensoredSurvivalForest,1.0,0.5319087913256786,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.11663444191684028,0.0570964744626216,0.15443467440859246,0.06236479898527112,-0.037800232491752184,0.05885153421504974,0.04698053966637768,29.21532893180847,FinalCensoredModel,1.0,0.7181975205450158,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.1530629870521246,0.06861122305576339,0.15443467440859246,0.06236479898527112,-0.0013716873564678905,0.033180877596907764,0.026523858277218287,0.9908733367919922,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8761287864323849,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
