name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon
Final Model,0.2443541945827209,0.1243046077017576,0.2226004047562276,0.1793788203689821,0.0217537898264933,0.1035731631487678,0.079285813142139,4.719158172607422,FinalCensoredModel,1.0,0.838076758221732,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Model Oracle,0.2854531731637083,0.0923076222054015,0.2226004047562276,0.1793788203689821,0.0628527684074805,0.1167149479908924,0.1021938809291497,0.2734479904174804,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9368730840075776,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
R-CSF Baseline,0.2137021018113374,0.0424238939833392,0.2226004047562276,0.1793788203689821,-0.0088983029448902,0.1519197236519067,0.1108635026693632,2.142750263214112,GRFCensoredBaseline,1.0,0.7211695306311284,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Strict Baseline,0.1757746860137691,0.1017987876806664,0.2226004047562276,0.1793788203689821,-0.0468257187424585,0.2007049742928255,0.1428196055045618,1.087524652481079,StrictEconmlXWZCensoredSurvivalForest,0.972,0.1218450831270733,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Strict Baseline Oracle,0.5335571604838979,0.2525639714101499,0.2226004047562276,0.1793788203689821,0.3109567557276702,0.3912041663838906,0.3310799349819011,0.9997820854187012,StrictOracleCensoredSurvivalForest,1.0,0.4372481067030699,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Model,0.1503102476399679,0.0225640683224697,0.1395284248788127,0.0664547996873764,0.0107818227611551,0.0678066124303232,0.0571010588921213,4.530370235443115,FinalCensoredModel,1.0,0.1480131257700666,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Final Model Oracle,0.1963951227952572,0.0559890037330478,0.1395284248788127,0.0664547996873764,0.0568666979164445,0.065361353568888,0.0572227065550021,0.2695395946502685,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8751924595945448,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
R-CSF Baseline,0.1280768519602645,0.0089943061626035,0.1395284248788127,0.0664547996873764,-0.0114515729185482,0.0674244345808977,0.0594473454137762,1.9926605224609373,GRFCensoredBaseline,1.0,0.0687803670038829,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Strict Baseline,0.1613621229363465,0.0278362537135419,0.1395284248788127,0.0664547996873764,0.0218336980575337,0.073562265512583,0.0588494260180899,1.0521461963653564,StrictEconmlXWZCensoredSurvivalForest,1.0,0.0693030560560769,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Strict Baseline Oracle,0.1897045707237095,0.0264792793296693,0.1395284248788127,0.0664547996873764,0.0501761458448967,0.084228334345347,0.0644958268897509,0.9417972564697266,StrictOracleCensoredSurvivalForest,1.0,0.1536152636071991,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Final Model,0.0937990532457907,0.0315697923506689,0.20518181853196,0.1286741075757288,-0.1113827652861692,0.1801299642147951,0.1250179738645485,6.03142237663269,FinalCensoredModel,0.994,-0.3061145142808448,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Model Oracle,0.1576645065292695,0.0466359800442065,0.20518181853196,0.1286741075757288,-0.0475173120026905,0.1172105872135198,0.0824008685855727,0.3131370544433594,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.604207912407934,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
R-CSF Baseline,0.0169080552484285,0.0442092159860768,0.20518181853196,0.1286741075757288,-0.1882737632835314,0.2393632351161621,0.1892826518464624,2.589203357696533,GRFCensoredBaseline,0.647,-0.2932424978416938,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Strict Baseline,0.1111220582477472,0.1243384947726039,0.20518181853196,0.1286741075757288,-0.0940597602842127,0.1944153999607211,0.1474186857894955,1.540522575378418,StrictEconmlXWZCensoredSurvivalForest,0.843,0.0958481854468207,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Strict Baseline Oracle,0.1141997387251126,0.0507214217427039,0.20518181853196,0.1286741075757288,-0.0909820798068473,0.1542156161895493,0.1094452067240376,1.7515242099761963,StrictOracleCensoredSurvivalForest,0.995,0.2777102924977147,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Model,0.1393660813458502,0.0487764582398319,0.15153939034682,0.0578740074587795,-0.0121733090009697,0.0524533319187879,0.0414025876781712,5.783302068710327,FinalCensoredModel,1.0,0.5535784299090913,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Final Model Oracle,0.1540032489624336,0.071681086961696,0.15153939034682,0.0578740074587795,0.0024638586156136,0.054722047101343,0.0446562510020646,0.3062660694122314,SingleFileFinalOracleCensoredSurvivalForest,0.995,0.6627919199949541,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
R-CSF Baseline,0.1172691607610185,0.0231373294486669,0.15153939034682,0.0578740074587795,-0.0342702295858014,0.0663758601216674,0.0569414225414308,2.4559028148651123,GRFCensoredBaseline,1.0,0.2439903638802965,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Strict Baseline,0.1511856407424951,0.0393673671172374,0.15153939034682,0.0578740074587795,-0.0003537496043248,0.0611553588574888,0.0483436996360645,1.3343055248260498,StrictEconmlXWZCensoredSurvivalForest,1.0,0.2544251167951736,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Strict Baseline Oracle,0.1454905659040671,0.0479166922363324,0.15153939034682,0.0578740074587795,-0.0060488244427528,0.0694391832187404,0.0559616984096517,1.3887639045715332,StrictOracleCensoredSurvivalForest,1.0,0.1550951332732673,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Final Model,0.1852818191425897,0.1251794591721799,0.2433154875081338,0.191299634684863,-0.058033668365544,0.1358110579784157,0.0889701341237807,8.949517726898193,FinalCensoredModel,1.0,0.7764865037101684,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Final Model Oracle,0.2282670837978795,0.1737759470735035,0.2433154875081338,0.191299634684863,-0.0150484037102543,0.0569193628372027,0.0445227162244324,0.3883314132690429,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9592958309850498,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
R-CSF Baseline,0.2583323692422326,0.1583438053693402,0.2433154875081338,0.191299634684863,0.0150168817340987,0.1233196814048607,0.0912025640448096,3.79624605178833,GRFCensoredBaseline,1.0,0.7706233045679195,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Strict Baseline,0.0312247681003454,0.2053708921670241,0.2433154875081338,0.191299634684863,-0.2120907194077883,0.3539773464000155,0.2453246301991411,2.8155219554901123,StrictEconmlXWZCensoredSurvivalForest,0.715,-0.0196594308057621,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Strict Baseline Oracle,0.077991372482665,0.1522405471183839,0.2433154875081338,0.191299634684863,-0.1653241150254688,0.3346310324312827,0.2366072132570723,2.78745985031128,StrictOracleCensoredSurvivalForest,0.7105,-0.4270276289124692,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Final Model,0.0977252001228274,0.0356438366241494,0.135791273777472,0.0658710894065927,-0.0380660736546445,0.0706893146083419,0.0586331182303685,8.609554290771484,FinalCensoredModel,1.0,0.4390160829165553,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,0.3291369842677525
