name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon
Final Conditional PCI Surv-Only,0.2274666385323163,0.1283831927867872,0.2226004047562276,0.1793788203689821,0.0048662337760885,0.1073556997654388,0.0767489846505563,4.818241357803345,ConditionalCensoringFinalPCISurvOnlyCensoredModel,1.0,0.8067453041368148,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Conditional PCI X-Only,0.2298128362936606,0.0979112292833742,0.2226004047562276,0.1793788203689821,0.0072124315374329,0.1612362560647198,0.1225929699726109,4.729840755462647,ConditionalCensoringFinalPCIXOnlyCensoredModel,1.0,0.4503239212211611,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Proper No PCI Conditional,-0.0287523258439918,0.0749364210417453,0.2226004047562276,0.1793788203689821,-0.2513527306002195,0.3270225807934253,0.2525003622090499,4.50754451751709,ProperNoPCIConditionalCensoredSurvivalForest,0.422,-0.2221894713306575,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,5.116970054968482
Final Conditional PCI Surv-Only,0.1526705071044923,0.0266307379899947,0.1395284248788127,0.0664547996873764,0.0131420822256795,0.0675182051527051,0.0562599048372632,4.643174886703491,ConditionalCensoringFinalPCISurvOnlyCensoredModel,1.0,0.2089128221407589,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Final Conditional PCI X-Only,0.1518140407302043,0.0384761583964778,0.1395284248788127,0.0664547996873764,0.0122856158513915,0.0771435834131322,0.0625480023309206,4.808852434158325,ConditionalCensoringFinalPCIXOnlyCensoredModel,1.0,0.0188623143850477,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Proper No PCI Conditional,0.0542019422170108,0.0243086679571157,0.1395284248788127,0.0664547996873764,-0.0853264826618019,0.1118975461590914,0.0952137358987283,4.303869724273682,ProperNoPCIConditionalCensoredSurvivalForest,0.982,-0.0722101210300136,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S01,500,5,1,1,0.3215722260695239
Final Conditional PCI Surv-Only,0.1219436281679691,0.0318197259983479,0.20518181853196,0.1286741075757288,-0.0832381903639908,0.1537211368182726,0.1067363371875708,6.5772974491119385,ConditionalCensoringFinalPCISurvOnlyCensoredModel,1.0,0.1059904608157649,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Conditional PCI X-Only,0.120763042974132,0.0501641706330372,0.20518181853196,0.1286741075757288,-0.084418775557828,0.1508395260247699,0.1095114442905215,6.55943489074707,ConditionalCensoringFinalPCIXOnlyCensoredModel,1.0,0.2670432134212913,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Proper No PCI Conditional,0.0171743680373745,0.1202650556532604,0.20518181853196,0.1286741075757288,-0.1880074504945855,0.236652432869744,0.2010688991847253,5.851711273193359,ProperNoPCIConditionalCensoredSurvivalForest,0.398,0.3348348269700352,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,3.6826905716044354
Final Conditional PCI Surv-Only,0.1381188680364504,0.046973325329697,0.15153939034682,0.0578740074587795,-0.0134205223103695,0.0542837738443107,0.0438190507161157,6.144685983657837,ConditionalCensoringFinalPCISurvOnlyCensoredModel,1.0,0.5130110111867422,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Final Conditional PCI X-Only,0.1393999725682974,0.0371524842908608,0.15153939034682,0.0578740074587795,-0.0121394177785225,0.0710986538906989,0.0586405345215284,6.206526756286621,ConditionalCensoringFinalPCIXOnlyCensoredModel,1.0,-0.0413794861337087,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Proper No PCI Conditional,0.0371313899976324,0.0396942092718553,0.15153939034682,0.0578740074587795,-0.1144080003491875,0.1331885570217396,0.1172733430122543,5.557308197021484,ProperNoPCIConditionalCensoredSurvivalForest,0.812,0.0598603241763466,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S02,1000,5,1,1,0.3186384900511824
Final Conditional PCI Surv-Only,0.1736762722750833,0.1266338152541353,0.2433154875081338,0.191299634684863,-0.0696392152330504,0.1457775588747232,0.0974428487278374,10.198843955993652,ConditionalCensoringFinalPCISurvOnlyCensoredModel,0.9995,0.7477852041152845,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Final Conditional PCI X-Only,0.1853337160047616,0.087177187549126,0.2433154875081338,0.191299634684863,-0.0579817715033722,0.1784186282407933,0.1232300074154843,13.603792905807495,ConditionalCensoringFinalPCIXOnlyCensoredModel,1.0,0.4714314625660837,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Proper No PCI Conditional,0.0054649893576435,0.1133807888455685,0.2433154875081338,0.191299634684863,-0.2378504981504902,0.3019885894822355,0.2390300517157425,9.230932712554932,ProperNoPCIConditionalCensoredSurvivalForest,0.4895,0.3417867102711128,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,5.323430614291711
Final Conditional PCI Surv-Only,0.1014866445021994,0.0362661620148274,0.135791273777472,0.0658710894065927,-0.0343046292752726,0.0699391750758913,0.0578723886860233,9.185366868972778,ConditionalCensoringFinalPCISurvOnlyCensoredModel,1.0,0.4059527661067806,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,0.3291369842677525
Final Conditional PCI X-Only,0.1017717656276947,0.0404731653285455,0.135791273777472,0.0658710894065927,-0.0340195081497772,0.0780769058190351,0.06447112902358,9.564695596694946,ConditionalCensoringFinalPCIXOnlyCensoredModel,0.9895,0.1947480809716664,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S03,2000,5,1,1,0.3291369842677525
