setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.056758561454882415
S01,Final Conditional,2,0.04258413662615562
S01,Final Conditional,3,0.13746907845006012
S01,Final Conditional,4,0.02458864288611464
S01,Final Conditional,5,0.09539790950488895
S01,Final Conditional,6,0.04285505117286857
S01,Final Conditional,7,0.14394208397432617
S01,Final Conditional,8,0.0585932512031887
S01,Final Conditional,9,0.146129652852993
S01,Final Conditional,10,0.05628374363686154
S01,Final Conditional,11,0.14241305289533865
S01,Final Conditional,12,0.04513417668664852
S01,Final Conditional Oracle,1,0.07674981845601589
S01,Final Conditional Oracle,2,0.03754529854830076
S01,Final Conditional Oracle,3,0.07575844222872836
S01,Final Conditional Oracle,4,0.059804269292246116
S01,Final Conditional Oracle,5,0.11054424914128422
S01,Final Conditional Oracle,6,0.044422830107075324
S01,Final Conditional Oracle,7,0.09105134365049053
S01,Final Conditional Oracle,8,0.046873599682918585
S01,Final Conditional Oracle,9,0.08124890059245804
S01,Final Conditional Oracle,10,0.04145345317705068
S01,Final Conditional Oracle,11,0.05649879800712709
S01,Final Conditional Oracle,12,0.00988774335870926
S01,Revised Conditional,1,0.10086339668670097
S01,Revised Conditional,2,0.0631254858464404
S01,Revised Conditional,3,0.1995628545287449
S01,Revised Conditional,4,0.01623463724769882
S01,Revised Conditional,5,0.09851927506665846
S01,Revised Conditional,6,0.05488729390662468
S01,Revised Conditional,7,0.17241791407180732
S01,Revised Conditional,8,0.0030165517479237803
S01,Revised Conditional,9,0.1267503130394309
S01,Revised Conditional,10,0.07637989768957094
S01,Revised Conditional,11,0.13584623420957845
S01,Revised Conditional,12,0.22155502404278202
S02,Final Conditional,1,0.11772767698262174
S02,Final Conditional,2,0.030793144587009057
S02,Final Conditional,3,0.17936335241748189
S02,Final Conditional,4,0.027454870887403438
S02,Final Conditional,5,0.15003630408479202
S02,Final Conditional,6,0.03756101657151374
S02,Final Conditional,7,0.2648612096738661
S02,Final Conditional,8,0.0134389268609349
S02,Final Conditional,9,0.11067105853902448
S02,Final Conditional,10,0.08441376761966118
S02,Final Conditional,11,0.08453422890922166
S02,Final Conditional,12,0.16010043092876214
S02,Final Conditional Oracle,1,0.11036462917455289
S02,Final Conditional Oracle,2,0.03217021968823518
S02,Final Conditional Oracle,3,0.07245286190112125
S02,Final Conditional Oracle,4,0.01697784158663792
S02,Final Conditional Oracle,5,0.13369088288837083
S02,Final Conditional Oracle,6,0.036404253554411535
S02,Final Conditional Oracle,7,0.06427043704771121
S02,Final Conditional Oracle,8,0.01652345827343062
S02,Final Conditional Oracle,9,0.08142626901646006
S02,Final Conditional Oracle,10,0.0268766446850975
S02,Final Conditional Oracle,11,0.045810457743970065
