setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.008066643637534234
S01,Final Conditional,2,0.031733635376962034
S01,Final Conditional,3,0.13746925983477856
S01,Final Conditional,4,0.015344125649709833
S01,Final Conditional,5,0.0686091728339819
S01,Final Conditional,6,0.0297769823823287
S01,Final Conditional,7,0.1439428948030619
S01,Final Conditional,8,0.05859329948805413
S01,Final Conditional,9,0.1304183862826352
S01,Final Conditional,10,0.04761684413361277
S01,Final Conditional,11,0.14241390045891308
S01,Final Conditional,12,0.04513402075208937
S01,Final Conditional Oracle,1,0.045292797557733404
S01,Final Conditional Oracle,2,0.0117917355666715
S01,Final Conditional Oracle,3,0.06434976922878814
S01,Final Conditional Oracle,4,0.0598042382486857
S01,Final Conditional Oracle,5,0.0825869419906391
S01,Final Conditional Oracle,6,0.0359014763110354
S01,Final Conditional Oracle,7,0.06618224825583598
S01,Final Conditional Oracle,8,0.04687356790621567
S01,Final Conditional Oracle,9,0.039580532987499896
S01,Final Conditional Oracle,10,0.0225140980244672
S01,Final Conditional Oracle,11,0.023154916492894268
S01,Final Conditional Oracle,12,0.009576930247077066
S01,Revised Conditional,1,0.04872274027749607
S01,Revised Conditional,2,0.05631989666768317
S01,Revised Conditional,3,0.19956344266262335
S01,Revised Conditional,4,0.0142919372163325
S01,Revised Conditional,5,0.09511177575526909
S01,Revised Conditional,6,0.04595554726248293
S01,Revised Conditional,7,0.17241841581624484
S01,Revised Conditional,8,0.010545054535998667
S01,Revised Conditional,9,0.09670206786503936
S01,Revised Conditional,10,0.07637985634010967
S01,Revised Conditional,11,0.13584741178787177
S01,Revised Conditional,12,0.22155425192838082
S02,Final Conditional,1,0.0997504851234904
S02,Final Conditional,2,0.009486139497973901
S02,Final Conditional,3,0.1793632335246086
S02,Final Conditional,4,0.027454902610602
S02,Final Conditional,5,0.07094966377938737
S02,Final Conditional,6,0.020966213039271864
S02,Final Conditional,7,0.2648604326682167
S02,Final Conditional,8,0.0079069540146749
S02,Final Conditional,9,0.05154295647757997
S02,Final Conditional,10,0.0844136844664728
S02,Final Conditional,11,0.0395542026469276
S02,Final Conditional,12,0.1600996776206198
S02,Final Conditional Oracle,1,0.06047325277060387
S02,Final Conditional Oracle,2,0.010214252973204533
S02,Final Conditional Oracle,3,0.018688465655608333
S02,Final Conditional Oracle,4,0.006731364931196301
S02,Final Conditional Oracle,5,0.04382927395685313
S02,Final Conditional Oracle,6,0.019795532503260504
S02,Final Conditional Oracle,7,0.0474829520230259
S02,Final Conditional Oracle,8,0.007053168490942033
S02,Final Conditional Oracle,9,0.0330131626400078
S02,Final Conditional Oracle,10,0.02687697861504387
S02,Final Conditional Oracle,11,0.021084107266562468
S02,Final Conditional Oracle,12,0.06620408543838326
S02,Revised Conditional,1,0.12054814297795684
S02,Revised Conditional,2,0.2308245688120881
S02,Revised Conditional,3,0.1908371244972439
S02,Revised Conditional,4,0.0746730579645969
S02,Revised Conditional,5,0.06372452313835317
S02,Revised Conditional,6,0.03985683859069206
S02,Revised Conditional,7,0.236800734135118
S02,Revised Conditional,8,0.0912934741039312
S02,Revised Conditional,9,0.24341042873267948
S02,Revised Conditional,10,0.08713313107062017
S02,Revised Conditional,11,0.0917163978282104
S02,Revised Conditional,12,0.23230667335003755
S03,Final Conditional,1,0.056620920541935134
S03,Final Conditional,2,0.039400710851594335
S03,Final Conditional,3,0.1913533612231565
S03,Final Conditional,4,0.0164850715362523
S03,Final Conditional,5,0.08440510446673356
S03,Final Conditional,6,0.02453303545460307
S03,Final Conditional,7,0.1842512903299134
S03,Final Conditional,8,0.024509073106790766
S03,Final Conditional,9,0.039817959157444065
S03,Final Conditional,10,0.012113352122287266
S03,Final Conditional,11,0.06262883618495296
S03,Final Conditional,12,0.013632963303757033
S03,Final Conditional Oracle,1,0.049845291482611374
S03,Final Conditional Oracle,2,0.015266127757238785
S03,Final Conditional Oracle,3,0.0588218698631533
S03,Final Conditional Oracle,4,0.018629187076228865
S03,Final Conditional Oracle,5,0.05896708681840133
S03,Final Conditional Oracle,6,0.027944692990150233
S03,Final Conditional Oracle,7,0.030633132485054698
S03,Final Conditional Oracle,8,0.026919082837285734
S03,Final Conditional Oracle,9,0.045968362053043436
S03,Final Conditional Oracle,10,0.015308327800593234
S03,Final Conditional Oracle,11,0.0331277731378785
S03,Final Conditional Oracle,12,0.014882439480805934
S03,Revised Conditional,1,0.06865298276193886
S03,Revised Conditional,2,0.017315146147971267
S03,Revised Conditional,3,0.23494253861385492
S03,Revised Conditional,4,0.026905409982609364
S03,Revised Conditional,5,0.030526858067579404
S03,Revised Conditional,6,0.0384755500644956
S03,Revised Conditional,7,0.19130955606020303
S03,Revised Conditional,8,0.01615044695645883
S03,Revised Conditional,9,0.0199578205366496
S03,Revised Conditional,10,0.023420919764648367
S03,Revised Conditional,11,0.22256478136928992
S03,Revised Conditional,12,0.019810432763336234
S04,Final Conditional,1,0.05766217452207206
S04,Final Conditional,2,0.0568835433048796
S04,Final Conditional,3,0.1829649680498362
S04,Final Conditional,4,0.038862072567048704
S04,Final Conditional,5,0.02255716640111906
S04,Final Conditional,6,0.07439140878140384
S04,Final Conditional,7,0.24382343393289943
S04,Final Conditional,8,0.0472911564024004
S04,Final Conditional,9,0.018446072105027
S04,Final Conditional,10,0.015194530167007933
S04,Final Conditional,11,0.0207616617512551
S04,Final Conditional,12,0.012278595776724433
S04,Final Conditional Oracle,1,0.043566041618293395
S04,Final Conditional Oracle,2,0.04361351357444667
S04,Final Conditional Oracle,3,0.02165068984736197
S04,Final Conditional Oracle,4,0.019283934722279798
S04,Final Conditional Oracle,5,0.042267757454692335
S04,Final Conditional Oracle,6,0.04652407153175494
S04,Final Conditional Oracle,7,0.0453697953223108
S04,Final Conditional Oracle,8,0.019651094084540834
S04,Final Conditional Oracle,9,0.018674024350495897
S04,Final Conditional Oracle,10,0.017141760425957334
S04,Final Conditional Oracle,11,0.0262088737219203
S04,Final Conditional Oracle,12,0.01632917140839703
S04,Revised Conditional,1,0.0423766834892075
S04,Revised Conditional,2,0.059148727019248365
S04,Revised Conditional,3,0.17487140681379806
S04,Revised Conditional,4,0.056290200403246234
S04,Revised Conditional,5,0.041213074583701964
S04,Revised Conditional,6,0.028138650147958036
S04,Revised Conditional,7,0.2739184525163101
S04,Revised Conditional,8,0.07710620640601128
S04,Revised Conditional,9,0.018938630865971865
S04,Revised Conditional,10,0.04792359187396217
S04,Revised Conditional,11,0.0438603771204547
S04,Revised Conditional,12,0.02706353616002277
S05,Final Conditional,1,0.0376967008099353
S05,Final Conditional,2,0.005832684247326167
S05,Final Conditional,3,0.17791518955334484
S05,Final Conditional,4,0.0099466304778711
S05,Final Conditional,5,0.04748259687373723
S05,Final Conditional,6,0.0274245078202776
S05,Final Conditional,7,0.239288781943785
S05,Final Conditional,8,0.0024757984387110336
S05,Final Conditional,9,0.06645690291395007
S05,Final Conditional,10,0.0361891467297493
S05,Final Conditional,11,0.06382883576599643
S05,Final Conditional,12,0.012556376746996367
S05,Final Conditional Oracle,1,0.012560809633037767
S05,Final Conditional Oracle,2,0.0081906445167572
S05,Final Conditional Oracle,3,0.014096689202730633
S05,Final Conditional Oracle,4,0.0057300247498368005
S05,Final Conditional Oracle,5,0.0215644090240565
S05,Final Conditional Oracle,6,0.025014379043443367
S05,Final Conditional Oracle,7,0.026885813403370134
S05,Final Conditional Oracle,8,0.0057983853386556665
S05,Final Conditional Oracle,9,0.05863133936362059
S05,Final Conditional Oracle,10,0.014371906758043234
S05,Final Conditional Oracle,11,0.027552884158562902
S05,Final Conditional Oracle,12,0.002257353100870133
S05,Revised Conditional,1,0.017062931267555433
S05,Revised Conditional,2,0.07675873851597946
S05,Revised Conditional,3,0.16547938880309185
S05,Revised Conditional,4,0.0207232990919866
S05,Revised Conditional,5,0.040952984672848566
S05,Revised Conditional,6,0.05747906542236477
S05,Revised Conditional,7,0.2517180190690314
S05,Revised Conditional,8,0.009848188839541567
S05,Revised Conditional,9,0.06554419460308497
S05,Revised Conditional,10,0.07697097606588926
S05,Revised Conditional,11,0.07226661536951473
S05,Revised Conditional,12,0.03199211910395396
S06,Final Conditional,1,0.06323111386875684
S06,Final Conditional,2,0.0239362595594026
S06,Final Conditional,3,0.20667796566641747
S06,Final Conditional,4,0.018099695004842698
S06,Final Conditional,5,0.0572868063487193
S06,Final Conditional,6,0.011579421600794533
S06,Final Conditional,7,0.24037331742402882
S06,Final Conditional,8,0.003152043350675333
