setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.02503382579829301
S01,Final Conditional,2,0.03947671822537856
S01,Final Conditional,3,0.13747304714332953
S01,Final Conditional,4,0.015344153539436032
S01,Final Conditional,5,0.06860743458982589
S01,Final Conditional,6,0.031727589408659336
S01,Final Conditional,7,0.14391567616464435
S01,Final Conditional,8,0.05859937506237892
S01,Final Conditional,9,0.13044750148884682
S01,Final Conditional,10,0.04755145212613396
S01,Final Conditional,11,0.1424174650987873
S01,Final Conditional,12,0.04512903373050949
S01,Final Conditional Oracle,1,0.04529011186762856
S01,Final Conditional Oracle,2,0.0219195137249813
S01,Final Conditional Oracle,3,0.06434021742779977
S01,Final Conditional Oracle,4,0.05981602812318005
S01,Final Conditional Oracle,5,0.08258782798513
S01,Final Conditional Oracle,6,0.036429269483118566
S01,Final Conditional Oracle,7,0.06616627057424057
S01,Final Conditional Oracle,8,0.04687197472444936
S01,Final Conditional Oracle,9,0.04548740637808796
S01,Final Conditional Oracle,10,0.023758659144183545
S01,Final Conditional Oracle,11,0.029498131244615002
S01,Final Conditional Oracle,12,0.01050407207478061
S01,Revised Conditional,1,0.04871831560835342
S01,Revised Conditional,2,0.059620301561393876
S01,Revised Conditional,3,0.19955600224693473
S01,Revised Conditional,4,0.015025971027742622
S01,Revised Conditional,5,0.09511363321374044
S01,Revised Conditional,6,0.051530249160888726
S01,Revised Conditional,7,0.1723815102265612
S01,Revised Conditional,8,0.011847810111500278
S01,Revised Conditional,9,0.09672214142185498
S01,Revised Conditional,10,0.07631689516401857
S01,Revised Conditional,11,0.13585796067698142
S01,Revised Conditional,12,0.22154342279113554
S02,Final Conditional,1,0.09975432434015848
S02,Final Conditional,2,0.013172096447306735
S02,Final Conditional,3,0.1793533673483756
S02,Final Conditional,4,0.02745544132414948
S02,Final Conditional,5,0.07777097811812682
S02,Final Conditional,6,0.021794605425368246
S02,Final Conditional,7,0.2649420575093048
S02,Final Conditional,8,0.010922806281800321
S02,Final Conditional,9,0.052186754200842046
S02,Final Conditional,10,0.09242312765185756
S02,Final Conditional,11,0.04782216648548851
S02,Final Conditional,12,0.16285558448058193
S02,Final Conditional Oracle,1,0.06262721649584481
S02,Final Conditional Oracle,2,0.01958944668687303
S02,Final Conditional Oracle,3,0.034412679858144446
S02,Final Conditional Oracle,4,0.007074042224543041
S02,Final Conditional Oracle,5,0.04806428145259762
S02,Final Conditional Oracle,6,0.020172881269272542
S02,Final Conditional Oracle,7,0.05498992077272284
S02,Final Conditional Oracle,8,0.007142474203434592
S02,Final Conditional Oracle,9,0.03352524739723753
S02,Final Conditional Oracle,10,0.039222080820043276
S02,Final Conditional Oracle,11,0.053320455550037
S02,Final Conditional Oracle,12,0.07477494091816143
S02,Revised Conditional,1,0.12051585223954867
S02,Revised Conditional,2,0.2308732281654552
S02,Revised Conditional,3,0.19083431671803547
S02,Revised Conditional,4,0.07469278303581112
S02,Revised Conditional,5,0.07106073541891163
S02,Revised Conditional,6,0.04059233832039518
S02,Revised Conditional,7,0.23680528186041286
S02,Revised Conditional,8,0.09126482567397226
S02,Revised Conditional,9,0.24354734692265984
S02,Revised Conditional,10,0.08719793598806105
S02,Revised Conditional,11,0.09175718852785542
S02,Revised Conditional,12,0.23226767088047787
S03,Final Conditional,1,0.059699713794790936
S03,Final Conditional,2,0.04439837091651546
S03,Final Conditional,3,0.19139751610014077
S03,Final Conditional,4,0.016622670547881045
S03,Final Conditional,5,0.08435770030557828
S03,Final Conditional,6,0.02451413715279817
S03,Final Conditional,7,0.18422977493627882
S03,Final Conditional,8,0.024910731182793466
