setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.04982407752323364
S01,Final Conditional,2,0.03209639613432412
S01,Final Conditional,3,0.09542891160660438
S01,Final Conditional,4,0.015474056615615739
S01,Final Conditional,5,0.054422773682691106
S01,Final Conditional,6,0.0279521756895175
S01,Final Conditional,7,0.06660109900055064
S01,Final Conditional,8,0.01980322023839478
S01,Final Conditional,9,0.06513753612125112
S01,Final Conditional,10,0.04270121252994016
S01,Final Conditional,11,0.06308096762451651
S01,Final Conditional,12,0.06120841930394122
S01,Final Conditional Oracle,1,0.05703738381737602
S01,Final Conditional Oracle,2,0.03082182597845658
S01,Final Conditional Oracle,3,0.0528888956502499
S01,Final Conditional Oracle,4,0.042381174892115916
S01,Final Conditional Oracle,5,0.059007841711796884
S01,Final Conditional Oracle,6,0.02356936634480348
S01,Final Conditional Oracle,7,0.06222101374800938
S01,Final Conditional Oracle,8,0.01748343530734566
S01,Final Conditional Oracle,9,0.059177481501714625
S01,Final Conditional Oracle,10,0.04042766512998122
S01,Final Conditional Oracle,11,0.0460357930718016
S01,Final Conditional Oracle,12,0.01853236420031678
S01,Revised Conditional,1,0.06057084477857953
S01,Revised Conditional,2,0.028366417980919177
S01,Revised Conditional,3,0.10728344140429176
S01,Revised Conditional,4,0.02036524182019872
S01,Revised Conditional,5,0.07022284859907679
S01,Revised Conditional,6,0.03111012867037896
S01,Revised Conditional,7,0.06743875944363072
S01,Revised Conditional,8,0.013864795138502658
S01,Revised Conditional,9,0.06312946153640342
S01,Revised Conditional,10,0.0371067492564699
S01,Revised Conditional,11,0.05646615981416362
S01,Revised Conditional,12,0.04212786785059502
S02,Final Conditional,1,0.0967235376347771
S02,Final Conditional,2,0.01052334585947384
S02,Final Conditional,3,0.1189216004525689
S02,Final Conditional,4,0.04741977098915106
S02,Final Conditional,5,0.07659829324271582
S02,Final Conditional,6,0.05024976893204456
S02,Final Conditional,7,0.16328825356185533
S02,Final Conditional,8,0.030224653816203522
S02,Final Conditional,9,0.08665567704982627
S02,Final Conditional,10,0.020986540620674798
S02,Final Conditional,11,0.06740138181353772
S02,Final Conditional,12,0.0363372714410028
S02,Final Conditional Oracle,1,0.06949908204882946
S02,Final Conditional Oracle,2,0.014927892154422981
S02,Final Conditional Oracle,3,0.054455574939631046
S02,Final Conditional Oracle,4,0.0232075251881291
S02,Final Conditional Oracle,5,0.055126179639965
S02,Final Conditional Oracle,6,0.05154102554463952
S02,Final Conditional Oracle,7,0.042636260827133676
S02,Final Conditional Oracle,8,0.02128423200197134
S02,Final Conditional Oracle,9,0.08657396851939478
S02,Final Conditional Oracle,10,0.01674261039491972
S02,Final Conditional Oracle,11,0.04228373225724804
S02,Final Conditional Oracle,12,0.03143093980831838
S02,Revised Conditional,1,0.08553972391050034
S02,Revised Conditional,2,0.0109976632077704
S02,Revised Conditional,3,0.10522059573766626
S02,Revised Conditional,4,0.02464925065278082
S02,Revised Conditional,5,0.0792546890281
S02,Revised Conditional,6,0.044797916028147124
S02,Revised Conditional,7,0.13030370317533235
S02,Revised Conditional,8,0.025557930043986442
S02,Revised Conditional,9,0.09350158239534204
S02,Revised Conditional,10,0.032724618847069856
S02,Revised Conditional,11,0.06952296998981794
S02,Revised Conditional,12,0.03858940899405695
S03,Final Conditional,1,0.0821061867590102
S03,Final Conditional,2,0.030581452601382963
S03,Final Conditional,3,0.10110266294507593
S03,Final Conditional,4,0.02591686163101784
S03,Final Conditional,5,0.06853690689757339
S03,Final Conditional,6,0.02608895515815582
S03,Final Conditional,7,0.1059725403642009
S03,Final Conditional,8,0.0108599627980684
S03,Final Conditional,9,0.06330691317317808
S03,Final Conditional,10,0.04449892474324456
S03,Final Conditional,11,0.056723846382423934
S03,Final Conditional,12,0.0268758723938401
S03,Final Conditional Oracle,1,0.07658091045289514
S03,Final Conditional Oracle,2,0.027005217679677118
S03,Final Conditional Oracle,3,0.04609041208084594
S03,Final Conditional Oracle,4,0.01790103315044564
S03,Final Conditional Oracle,5,0.06267585890149087
S03,Final Conditional Oracle,6,0.02279189744921592
S03,Final Conditional Oracle,7,0.04803590465657488
S03,Final Conditional Oracle,8,0.012867049127283581
S03,Final Conditional Oracle,9,0.05665815387632932
S03,Final Conditional Oracle,10,0.038608757109804936
S03,Final Conditional Oracle,11,0.04192836057228874
S03,Final Conditional Oracle,12,0.02218221651912056
S03,Revised Conditional,1,0.09519628810243055
S03,Revised Conditional,2,0.02409662363695894
S03,Revised Conditional,3,0.12627633840448507
S03,Revised Conditional,4,0.012681227748124921
