setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.017761681606874257
S01,Final Conditional,2,0.012122060355289557
S01,Final Conditional,3,0.09542789891425507
S01,Final Conditional,4,0.00906932847883931
S01,Final Conditional,5,0.011490811889961846
S01,Final Conditional,6,0.02027975109408109
S01,Final Conditional,7,0.041593745592959364
S01,Final Conditional,8,0.016853424395431856
S01,Final Conditional,9,0.02357050363184847
S01,Final Conditional,10,0.02432070166977217
S01,Final Conditional,11,0.045098686483109766
S01,Final Conditional,12,0.06123357347927454
S01,Final Conditional Oracle,1,0.010373792923428599
S01,Final Conditional Oracle,2,0.023297728138668553
S01,Final Conditional Oracle,3,0.025071278389083122
S01,Final Conditional Oracle,4,0.04231539069995093
S01,Final Conditional Oracle,5,0.020664425373927788
S01,Final Conditional Oracle,6,0.014032495680622878
S01,Final Conditional Oracle,7,0.05868970299939877
S01,Final Conditional Oracle,8,0.013856120407267233
S01,Final Conditional Oracle,9,0.05235248147448548
S01,Final Conditional Oracle,10,0.027548069015448744
S01,Final Conditional Oracle,11,0.030190475927498375
S01,Final Conditional Oracle,12,0.008069162881560822
S01,Revised Conditional,1,0.029268503204784524
S01,Revised Conditional,2,0.015430839211216867
S01,Revised Conditional,3,0.107271940529482
S01,Revised Conditional,4,0.027109993699752054
S01,Revised Conditional,5,0.024090055236725822
S01,Revised Conditional,6,0.02432600138982251
S01,Revised Conditional,7,0.0548925564988419
S01,Revised Conditional,8,0.013486290522412344
S01,Revised Conditional,9,0.02087879454140992
S01,Revised Conditional,10,0.03244885181019988
S01,Revised Conditional,11,0.015216403339231402
S01,Revised Conditional,12,0.0421443391547389
S02,Final Conditional,1,0.053126061936597135
S02,Final Conditional,2,0.0070364843453406545
S02,Final Conditional,3,0.11891887210466034
S02,Final Conditional,4,0.04741528542819265
S02,Final Conditional,5,0.04471138062871699
S02,Final Conditional,6,0.04274104755812063
S02,Final Conditional,7,0.16328109870837298
S02,Final Conditional,8,0.03022910808161042
S02,Final Conditional,9,0.04298173637850521
S02,Final Conditional,10,0.04951272667861899
S02,Final Conditional,11,0.04110204536244222
S02,Final Conditional,12,0.03993612437769864
S02,Final Conditional Oracle,1,0.027915006360739507
S02,Final Conditional Oracle,2,0.010292649036277877
S02,Final Conditional Oracle,3,0.0119971484383429
S02,Final Conditional Oracle,4,0.024414605308448897
S02,Final Conditional Oracle,5,0.03742143911821718
S02,Final Conditional Oracle,6,0.045078990558674786
S02,Final Conditional Oracle,7,0.0208932831437127
S02,Final Conditional Oracle,8,0.019177819916855812
S02,Final Conditional Oracle,9,0.05889148211249077
S02,Final Conditional Oracle,10,0.045566095514509006
S02,Final Conditional Oracle,11,0.025265243568481793
S02,Final Conditional Oracle,12,0.040365183574576746
S02,Revised Conditional,1,0.0406256778121381
S02,Revised Conditional,2,0.013603815975772144
S02,Revised Conditional,3,0.10454364557367615
