setting_id,model,case_id,mean_abs_subgroup_bias
S01,Final Conditional,1,0.017202583370650767
S01,Final Conditional,2,0.005595247468347434
S01,Final Conditional,3,0.09542891779456897
S01,Final Conditional,4,0.007726415702173133
S01,Final Conditional,5,0.0063325697920716
S01,Final Conditional,6,0.015060285905275432
S01,Final Conditional,7,0.041598502595411806
S01,Final Conditional,8,0.015628451237600434
S01,Final Conditional,9,0.023603389273878398
S01,Final Conditional,10,0.007500198241180567
S01,Final Conditional,11,0.045102594145336135
S01,Final Conditional,12,0.06120821942532236
S01,Final Conditional Oracle,1,0.0101850045943632
S01,Final Conditional Oracle,2,0.0233084079416833
S01,Final Conditional Oracle,3,0.0228880233025459
S01,Final Conditional Oracle,4,0.04238100105007123
S01,Final Conditional Oracle,5,0.009627221741371332
S01,Final Conditional Oracle,6,0.005707435870173733
S01,Final Conditional Oracle,7,0.05870282173914867
S01,Final Conditional Oracle,8,0.0138790252293398
S01,Final Conditional Oracle,9,0.052324673715686665
S01,Final Conditional Oracle,10,0.0037909225735014668
S01,Final Conditional Oracle,11,0.030169894625435834
S01,Final Conditional Oracle,12,0.003517115321718967
S01,Revised Conditional,1,0.029028120458892703
S01,Revised Conditional,2,0.013749566653588702
S01,Revised Conditional,3,0.10728342678147083
S01,Revised Conditional,4,0.027124477649401364
S01,Revised Conditional,5,0.011879767130592066
S01,Revised Conditional,6,0.019150071811814398
S01,Revised Conditional,7,0.05490131309404874
S01,Revised Conditional,8,0.0125179748461716
S01,Revised Conditional,9,0.020730570873027265
S01,Revised Conditional,10,0.0045334268823578995
S01,Revised Conditional,11,0.015225719599638733
S01,Revised Conditional,12,0.04212779400474647
S02,Final Conditional,1,0.0531215078620958
S02,Final Conditional,2,0.005428030836009933
S02,Final Conditional,3,0.11892151745768953
S02,Final Conditional,4,0.04741978814663463
S02,Final Conditional,5,0.037777048858981865
S02,Final Conditional,6,0.0427413349647735
S02,Final Conditional,7,0.16328883730321364
S02,Final Conditional,8,0.030224814379677303
S02,Final Conditional,9,0.0290360839160443
S02,Final Conditional,10,0.04712671994691037
S02,Final Conditional,11,0.041084179396138294
S02,Final Conditional,12,0.0372867391207182
S02,Final Conditional Oracle,1,0.0279040385318996
S02,Final Conditional Oracle,2,0.0102923906262916
S02,Final Conditional Oracle,3,0.011967434403924435
S02,Final Conditional Oracle,4,0.022213025519686434
S02,Final Conditional Oracle,5,0.02113608230725897
S02,Final Conditional Oracle,6,0.045078513012599665
S02,Final Conditional Oracle,7,0.014406583012586132
S02,Final Conditional Oracle,8,0.01565345554880977
S02,Final Conditional Oracle,9,0.04214579141896747
S02,Final Conditional Oracle,10,0.045605773443646865
S02,Final Conditional Oracle,11,0.024905209404054166
S02,Final Conditional Oracle,12,0.040305884298206834
S02,Revised Conditional,1,0.03913247761241433
S02,Revised Conditional,2,0.010997330179298834
S02,Revised Conditional,3,0.10453447006965545
S02,Revised Conditional,4,0.0246493325443264
S02,Revised Conditional,5,0.025152807472011766
S02,Revised Conditional,6,0.030081210708794232
S02,Revised Conditional,7,0.1303039243199299
S02,Revised Conditional,8,0.01934821438464063
S02,Revised Conditional,9,0.03502517655745433
S02,Revised Conditional,10,0.035834907687716196
S02,Revised Conditional,11,0.03174611288156603
S02,Revised Conditional,12,0.03858909337770144
S03,Final Conditional,1,0.037194880211838
S03,Final Conditional,2,0.007867670851854467
S03,Final Conditional,3,0.10110303184256818
S03,Final Conditional,4,0.017681115994549065
S03,Final Conditional,5,0.02182738063871667
S03,Final Conditional,6,0.008793482618299367
S03,Final Conditional,7,0.10597279253954883
S03,Final Conditional,8,0.010859902256284366
S03,Final Conditional,9,0.011094188139128533
S03,Final Conditional,10,0.04449937451241134
S03,Final Conditional,11,0.019415713113161367
S03,Final Conditional,12,0.026875858348698368
S03,Final Conditional Oracle,1,0.031671660700375935
S03,Final Conditional Oracle,2,0.007999076596995267
S03,Final Conditional Oracle,3,0.03331463395561667
S03,Final Conditional Oracle,4,0.0074521439261573666
S03,Final Conditional Oracle,5,0.018926914629881834
S03,Final Conditional Oracle,6,0.007005001472662
S03,Final Conditional Oracle,7,0.017178999689859333
S03,Final Conditional Oracle,8,0.0128670392250115
S03,Final Conditional Oracle,9,0.015418707441888732
S03,Final Conditional Oracle,10,0.03047057843646883
S03,Final Conditional Oracle,11,0.023213935375867665
S03,Final Conditional Oracle,12,0.022182385484218997
S03,Revised Conditional,1,0.04768706074139994
S03,Revised Conditional,2,0.009882429002946733
S03,Revised Conditional,3,0.12627671428807444
S03,Revised Conditional,4,0.006814668888796334
S03,Revised Conditional,5,0.02196797948922027
S03,Revised Conditional,6,0.007308638812413265
S03,Revised Conditional,7,0.08975317277820045
S03,Revised Conditional,8,0.023854382570737003
S03,Revised Conditional,9,0.014353681279872401
S03,Revised Conditional,10,0.05293545288503634
S03,Revised Conditional,11,0.017220275634520534
S03,Revised Conditional,12,0.0353335071272726
S04,Final Conditional,1,0.0413426094397585
S04,Final Conditional,2,0.02594806261263573
S04,Final Conditional,3,0.1322079644014779
S04,Final Conditional,4,0.025435155669452703
S04,Final Conditional,5,0.04276088263275831
S04,Final Conditional,6,0.0384703757674878
S04,Final Conditional,7,0.15288138267619134
S04,Final Conditional,8,0.026389170181992164
S04,Final Conditional,9,0.0041534071638125005
S04,Final Conditional,10,0.0058454336224218
S04,Final Conditional,11,0.009840668440948767
S04,Final Conditional,12,0.004528126491171167
S04,Final Conditional Oracle,1,0.03489510705410483
S04,Final Conditional Oracle,2,0.019136687143587065
S04,Final Conditional Oracle,3,0.023971925874525568
S04,Final Conditional Oracle,4,0.010986820800636033
S04,Final Conditional Oracle,5,0.0239993398906117
S04,Final Conditional Oracle,6,0.021486451929923895
S04,Final Conditional Oracle,7,0.0124517834577754
S04,Final Conditional Oracle,8,0.0097275677788216
S04,Final Conditional Oracle,9,0.0060142578611629
S04,Final Conditional Oracle,10,0.009464545363987666
S04,Final Conditional Oracle,11,0.016401426836402697
S04,Final Conditional Oracle,12,0.005710631998944134
S04,Revised Conditional,1,0.03598733505847993
S04,Revised Conditional,2,0.029713905396145403
S04,Revised Conditional,3,0.12833107821592127
S04,Revised Conditional,4,0.02106052670354137
S04,Revised Conditional,5,0.032420807000099104
S04,Revised Conditional,6,0.043800282852123666
S04,Revised Conditional,7,0.1477839519137509
S04,Revised Conditional,8,0.030410020066299667
S04,Revised Conditional,9,0.0032569705472650996
S04,Revised Conditional,10,0.008866739573490932
S04,Revised Conditional,11,0.0167733823807847
S04,Revised Conditional,12,0.0035255659843113
S05,Final Conditional,1,0.034702981837298065
S05,Final Conditional,2,0.006776361756600233
S05,Final Conditional,3,0.10955324465082504
S05,Final Conditional,4,0.005075974599369367
S05,Final Conditional,5,0.019371961950357664
S05,Final Conditional,6,0.012574866387520867
S05,Final Conditional,7,0.12168958866047992
S05,Final Conditional,8,0.0097465369822867
S05,Final Conditional,9,0.04384517975442776
S05,Final Conditional,10,0.03722102436010837
S05,Final Conditional,11,0.0351729011462876
S05,Final Conditional,12,0.009952141759004001
S05,Final Conditional Oracle,1,0.0392578480139928
S05,Final Conditional Oracle,2,0.0053663909047718
S05,Final Conditional Oracle,3,0.023993262493593098
S05,Final Conditional Oracle,4,0.0075364375462741
S05,Final Conditional Oracle,5,0.009950180326715734
S05,Final Conditional Oracle,6,0.0129013611391273
S05,Final Conditional Oracle,7,0.0143303299457046
S05,Final Conditional Oracle,8,0.002063196959099
S05,Final Conditional Oracle,9,0.03841906781007126
S05,Final Conditional Oracle,10,0.0341622957568197
S05,Final Conditional Oracle,11,0.024411293057442135
S05,Final Conditional Oracle,12,0.0087147377032043
S05,Revised Conditional,1,0.03313567103964463
