target,model,subgroup_family,num_rows,weighted_signed_bias,weighted_abs_bias,worst_abs_bias
RMST,Final Conditional Oracle,tau,1320,-0.0006657820679640001,0.056248858374910914,0.3130334547847621
RMST,Final Conditional,tau,1320,-0.03608454212333258,0.08170006144486502,0.49055576961682656
RMST,Revised Conditional,tau,1320,-0.01187367186489326,0.1103256371808958,0.7907538624661756
RMST,Final Conditional Oracle,x0,792,-0.0006657820679639995,0.027845946773254505,0.18859510124928097
RMST,Final Conditional,x0,792,-0.03608454212333257,0.059332065354303014,0.3305547934783525
RMST,Revised Conditional,x0,792,-0.011873671864893262,0.08979750258373512,0.7565724584259507
RMST,Final Conditional Oracle,x0x1,2376,-0.0006657820679639998,0.03429066043456278,0.23945610984369944
RMST,Final Conditional,x0x1,2376,-0.03608454212333258,0.06344011876459414,0.4361097918803695
RMST,Revised Conditional,x0x1,2376,-0.01187367186489326,0.09315686766437282,0.9716376102102515
RMST,Final Conditional Oracle,x1,792,-0.0006657820679639995,0.02835648710310826,0.18642762161295515
RMST,Final Conditional,x1,792,-0.03608454212333258,0.059620806340270845,0.3491311823172717
RMST,Revised Conditional,x1,792,-0.011873671864893262,0.08972661979124398,0.9495890067282462
survival.probability,Final Conditional Oracle,tau,1320,0.0004085428273505682,0.040158789495484376,0.16695111227730958
survival.probability,Final Conditional,tau,1320,-0.020303766687186472,0.05259063083592145,0.26117428660352016
survival.probability,Revised Conditional,tau,1320,-0.015743452080221668,0.05860302751907432,0.2986471685913425
survival.probability,Final Conditional Oracle,x0,792,0.00040854282735056693,0.01975088295492291,0.11494428703985114
survival.probability,Final Conditional,x0,792,-0.020303766687186472,0.03466363204300862,0.18233961410624472
survival.probability,Revised Conditional,x0,792,-0.015743452080221664,0.03964500702184048,0.2668015757990044
survival.probability,Final Conditional Oracle,x0x1,2376,0.0004085428273505675,0.023959680703095704,0.13116170021974005
survival.probability,Final Conditional,x0x1,2376,-0.02030376668718647,0.037237181941057566,0.19613021844498496
survival.probability,Revised Conditional,x0x1,2376,-0.015743452080221664,0.04214637829359207,0.2775593644644591
survival.probability,Final Conditional Oracle,x1,792,0.00040854282735056785,0.019742297882424834,0.103762137373345
survival.probability,Final Conditional,x1,792,-0.02030376668718647,0.03440724661442385,0.17496366446919492
survival.probability,Revised Conditional,x1,792,-0.015743452080221664,0.03961823164645295,0.2405576057386728
