target,setting_id,case_id,case_slug,model,train_seconds,train_n,test_n
RMST,S01,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.23500370979309082,500,20000
RMST,S01,1,linear_linear_informative_strong_beneficial_large,Final Conditional,4.678765535354614,500,20000
RMST,S01,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,0.695765495300293,500,20000
survival.probability,S01,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.22320914268493652,500,20000
survival.probability,S01,1,linear_linear_informative_strong_beneficial_large,Final Conditional,4.610257387161255,500,20000
survival.probability,S01,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,0.7097311019897461,500,20000
RMST,S01,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.21929287910461426,500,20000
RMST,S01,2,linear_linear_informative_weak_harmful_small,Final Conditional,4.656211853027344,500,20000
RMST,S01,2,linear_linear_informative_weak_harmful_small,Revised Conditional,0.8157341480255127,500,20000
survival.probability,S01,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.22347593307495117,500,20000
survival.probability,S01,2,linear_linear_informative_weak_harmful_small,Final Conditional,4.351110219955444,500,20000
survival.probability,S01,2,linear_linear_informative_weak_harmful_small,Revised Conditional,0.6938700675964355,500,20000
RMST,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2290940284729004,500,20000
RMST,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,4.756977796554565,500,20000
RMST,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,0.6861145496368408,500,20000
survival.probability,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2263951301574707,500,20000
survival.probability,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,4.392536401748657,500,20000
survival.probability,S01,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,0.6779584884643555,500,20000
RMST,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.23085284233093262,500,20000
RMST,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,4.632441282272339,500,20000
RMST,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.7083547115325928,500,20000
survival.probability,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.22444748878479004,500,20000
survival.probability,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,4.494493246078491,500,20000
survival.probability,S01,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.6826498508453369,500,20000
RMST,S01,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.22777414321899414,500,20000
RMST,S01,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,4.606748104095459,500,20000
RMST,S01,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.8219771385192871,500,20000
survival.probability,S01,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.22559428215026855,500,20000
survival.probability,S01,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,4.289264917373657,500,20000
survival.probability,S01,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.6791324615478516,500,20000
RMST,S01,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.34248900413513184,500,20000
RMST,S01,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,4.632259368896484,500,20000
RMST,S01,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.6901872158050537,500,20000
survival.probability,S01,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.21526765823364258,500,20000
survival.probability,S01,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,4.321898937225342,500,20000
survival.probability,S01,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.686610221862793,500,20000
RMST,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.22852325439453125,500,20000
RMST,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,4.635395288467407,500,20000
RMST,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.6861464977264404,500,20000
survival.probability,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.22409963607788086,500,20000
survival.probability,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,4.501007080078125,500,20000
survival.probability,S01,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.670405387878418,500,20000
RMST,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.22684836387634277,500,20000
RMST,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,4.73584508895874,500,20000
RMST,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.7164974212646484,500,20000
survival.probability,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.21447992324829102,500,20000
survival.probability,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,4.375340700149536,500,20000
survival.probability,S01,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.6914541721343994,500,20000
RMST,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.22993016242980957,500,20000
RMST,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,4.589714288711548,500,20000
RMST,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.6683166027069092,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.23949670791625977,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,4.413515567779541,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.680408239364624,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.22808241844177246,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,4.603425025939941,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.6671199798583984,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.2273244857788086,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,4.338200569152832,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.6643736362457275,500,20000
RMST,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.21999025344848633,500,20000
